Type,Category,Name,Module,Description,Parent,Returns,Parameters
Class,Core Classes,User,a2a.auth.user,Represents an authenticated user,,,
Method,Core Classes,is_authenticated,a2a.auth.user,Property indicating if user is authenticated,User,,
Method,Core Classes,user_name,a2a.auth.user,Property containing the username,User,,
Class,Core Classes,UnauthenticatedUser,a2a.auth.user,Represents an unauthenticated user,,,
Method,Core Classes,is_authenticated,a2a.auth.user,Property indicating if user is authenticated (always False),UnauthenticatedUser,,
Method,Core Classes,user_name,a2a.auth.user,Property containing the username (None for unauthenticated),UnauthenticatedUser,,
Class,Core Classes,BaseClient,a2a.client.base_client,"Base implementation of the A2A client, containing transport-independent logic",,,
Method,Core Classes,cancel_task(),a2a.client.base_client,Requests the agent to cancel a specific task,BaseClient,,
Method,Core Classes,close(),a2a.client.base_client,Closes the underlying transport,BaseClient,,
Method,Core Classes,get_card(),a2a.client.base_client,Retrieves the agent's card,BaseClient,,
Method,Core Classes,get_task(),a2a.client.base_client,Retrieves the current state and history of a specific task,BaseClient,,
Method,Core Classes,get_task_callback(),a2a.client.base_client,Retrieves the push notification configuration for a specific task,BaseClient,,
Method,Core Classes,resubscribe(),a2a.client.base_client,Resubscribes to a task's event stream,BaseClient,,
Method,Core Classes,send_message(),a2a.client.base_client,Sends a message to the agent,BaseClient,,
Method,Core Classes,set_task_callback(),a2a.client.base_client,Sets or updates the push notification configuration for a specific task,BaseClient,,
Class,Core Classes,Client,a2a.client.client,Abstract base class defining the interface for an A2A client,,,
Method,Core Classes,add_event_consumer(),a2a.client.client,Attaches additional consumers to the Client,Client,,
Method,Core Classes,add_request_middleware(),a2a.client.client,Attaches additional middleware to the Client,Client,,
Method,Core Classes,cancel_task(),a2a.client.client,Requests the agent to cancel a specific task (abstract),Client,,
Method,Core Classes,consume(),a2a.client.client,Processes the event via all the registered Consumers,Client,,
Method,Core Classes,get_card(),a2a.client.client,Retrieves the agent's card (abstract),Client,,
Method,Core Classes,get_task(),a2a.client.client,Retrieves the current state and history of a specific task (abstract),Client,,
Method,Core Classes,get_task_callback(),a2a.client.client,Retrieves the push notification configuration for a specific task (abstract),Client,,
Method,Core Classes,resubscribe(),a2a.client.client,Resubscribes to a task's event stream (abstract),Client,,
Method,Core Classes,send_message(),a2a.client.client,Sends a message to the server (abstract),Client,,
Method,Core Classes,set_task_callback(),a2a.client.client,Sets or updates the push notification configuration for a specific task (abstract),Client,,
Class,Core Classes,A2AClient,a2a.client.legacy,Legacy A2A client implementation,,,
Method,Core Classes,cancel_task(),a2a.client.legacy,Requests the agent to cancel a specific task,A2AClient,,
Method,Core Classes,get_card(),a2a.client.legacy,Retrieves the agent's card,A2AClient,,
Method,Core Classes,get_task(),a2a.client.legacy,Retrieves the current state and history of a specific task,A2AClient,,
Method,Core Classes,get_task_callback(),a2a.client.legacy,Retrieves the push notification configuration for a specific task,A2AClient,,
Method,Core Classes,resubscribe(),a2a.client.legacy,Resubscribes to a task's event stream,A2AClient,,
Method,Core Classes,send_message(),a2a.client.legacy,Sends a message to the agent,A2AClient,,
Method,Core Classes,send_message_streaming(),a2a.client.legacy,Sends a streaming message request to the agent,A2AClient,,
Method,Core Classes,set_task_callback(),a2a.client.legacy,Sets or updates the push notification configuration for a specific task,A2AClient,,
Class,Core Classes,A2ACardResolver,a2a.client.card_resolver,Agent Card resolver for fetching agent cards,,,
Method,Core Classes,get_agent_card(),a2a.client.card_resolver,Fetches an agent card from a specified path relative to the base_url,A2ACardResolver,,
Class,Core Classes,ClientConfig,a2a.client.client,Configuration class for A2A clients,,,
Property,Core Classes,accepted_output_modes,a2a.client.client,Accepted output modes for the client,ClientConfig,,
Property,Core Classes,grpc_channel_factory,a2a.client.client,Factory for creating gRPC channels,ClientConfig,,
Property,Core Classes,httpx_client,a2a.client.client,HTTP client for making requests,ClientConfig,,
Property,Core Classes,polling,a2a.client.client,Configuration for polling behavior,ClientConfig,,
Property,Core Classes,push_notification_configs,a2a.client.client,Push notification configurations,ClientConfig,,
Property,Core Classes,streaming,a2a.client.client,Streaming configuration,ClientConfig,,
Property,Core Classes,supported_transports,a2a.client.client,List of supported transport protocols,ClientConfig,,
Property,Core Classes,use_client_preference,a2a.client.client,Whether to use client preferences,ClientConfig,,
Class,Core Classes,ClientFactory,a2a.client.client_factory,Factory for creating A2A clients,,,
Method,Core Classes,create(),a2a.client.client_factory,Creates a new client instance,ClientFactory,,
Method,Core Classes,register(),a2a.client.client_factory,Registers a client type,ClientFactory,,
Class,Core Classes,ClientTaskManager,a2a.client.client_task_manager,Manages tasks for A2A clients,,,
Method,Core Classes,get_task(),a2a.client.client_task_manager,Retrieves a task by ID,ClientTaskManager,,
Method,Core Classes,get_task_or_raise(),a2a.client.client_task_manager,Retrieves a task by ID or raises an exception if not found,ClientTaskManager,,
Method,Core Classes,process(),a2a.client.client_task_manager,Processes a task event,ClientTaskManager,,
Method,Core Classes,save_task_event(),a2a.client.client_task_manager,Saves a task event,ClientTaskManager,,
Method,Core Classes,update_with_message(),a2a.client.client_task_manager,Updates task state with a message,ClientTaskManager,,
Class,Core Classes,ClientTransport,a2a.client.transports.base,Abstract base class for client transports,,,
Method,Core Classes,cancel_task(),a2a.client.transports.base,Cancels a task via the transport,ClientTransport,,
Method,Core Classes,close(),a2a.client.transports.base,Closes the transport connection,ClientTransport,,
Method,Core Classes,get_card(),a2a.client.transports.base,Gets agent card via the transport,ClientTransport,,
Method,Core Classes,get_task(),a2a.client.transports.base,Gets task information via the transport,ClientTransport,,
Method,Core Classes,get_task_callback(),a2a.client.transports.base,Gets task callback configuration via the transport,ClientTransport,,
Method,Core Classes,resubscribe(),a2a.client.transports.base,Resubscribes to task events via the transport,ClientTransport,,
Method,Core Classes,send_message(),a2a.client.transports.base,Sends a message via the transport,ClientTransport,,
Method,Core Classes,send_message_streaming(),a2a.client.transports.base,Sends a streaming message via the transport,ClientTransport,,
Method,Core Classes,set_task_callback(),a2a.client.transports.base,Sets task callback configuration via the transport,ClientTransport,,
Class,Core Classes,JsonRpcTransport,a2a.client.transports.jsonrpc,JSON-RPC transport implementation,,,
Method,Core Classes,cancel_task(),a2a.client.transports.jsonrpc,Cancels a task via JSON-RPC,JsonRpcTransport,,
Method,Core Classes,close(),a2a.client.transports.jsonrpc,Closes the JSON-RPC transport connection,JsonRpcTransport,,
Method,Core Classes,get_card(),a2a.client.transports.jsonrpc,Gets agent card via JSON-RPC,JsonRpcTransport,,
Method,Core Classes,get_task(),a2a.client.transports.jsonrpc,Gets task information via JSON-RPC,JsonRpcTransport,,
Method,Core Classes,get_task_callback(),a2a.client.transports.jsonrpc,Gets task callback configuration via JSON-RPC,JsonRpcTransport,,
Method,Core Classes,resubscribe(),a2a.client.transports.jsonrpc,Resubscribes to task events via JSON-RPC,JsonRpcTransport,,
Method,Core Classes,send_message(),a2a.client.transports.jsonrpc,Sends a message via JSON-RPC,JsonRpcTransport,,
Method,Core Classes,send_message_streaming(),a2a.client.transports.jsonrpc,Sends a streaming message via JSON-RPC,JsonRpcTransport,,
Method,Core Classes,set_task_callback(),a2a.client.transports.jsonrpc,Sets task callback configuration via JSON-RPC,JsonRpcTransport,,
Class,Core Classes,RestTransport,a2a.client.transports.rest,REST transport implementation,,,
Method,Core Classes,cancel_task(),a2a.client.transports.rest,Cancels a task via REST API,RestTransport,,
Method,Core Classes,close(),a2a.client.transports.rest,Closes the REST transport connection,RestTransport,,
Method,Core Classes,get_card(),a2a.client.transports.rest,Gets agent card via REST API,RestTransport,,
Method,Core Classes,get_task(),a2a.client.transports.rest,Gets task information via REST API,RestTransport,,
Method,Core Classes,get_task_callback(),a2a.client.transports.rest,Gets task callback configuration via REST API,RestTransport,,
Method,Core Classes,resubscribe(),a2a.client.transports.rest,Resubscribes to task events via REST API,RestTransport,,
Method,Core Classes,send_message(),a2a.client.transports.rest,Sends a message via REST API,RestTransport,,
Method,Core Classes,send_message_streaming(),a2a.client.transports.rest,Sends a streaming message via REST API,RestTransport,,
Method,Core Classes,set_task_callback(),a2a.client.transports.rest,Sets task callback configuration via REST API,RestTransport,,
Class,Core Classes,CredentialService,a2a.client.auth.credentials,Abstract service for retrieving credentials,,,
Method,Core Classes,get_credentials(),a2a.client.auth.credentials,"Retrieves a credential (e.g., token) for a security scheme (abstract)",CredentialService,,
Class,Core Classes,InMemoryContextCredentialStore,a2a.client.auth.credentials,A simple in-memory store for session-keyed credentials,,,
Method,Core Classes,get_credentials(),a2a.client.auth.credentials,Retrieves credentials from the in-memory store,InMemoryContextCredentialStore,,
Method,Core Classes,set_credentials(),a2a.client.auth.credentials,Method to populate the store with credentials,InMemoryContextCredentialStore,,
Class,Core Classes,AuthInterceptor,a2a.client.auth.interceptor,Interceptor for handling authentication,,,
Method,Core Classes,intercept(),a2a.client.auth.interceptor,Intercepts requests to add authentication,AuthInterceptor,,
Class,Core Classes,ServerCallContext,a2a.server.context,Context for server-side calls,,,
Property,Core Classes,activated_extensions,a2a.server.context,Extensions activated for this call,ServerCallContext,,
Property,Core Classes,model_config,a2a.server.context,Model configuration,ServerCallContext,,
Property,Core Classes,requested_extensions,a2a.server.context,Extensions requested for this call,ServerCallContext,,
Property,Core Classes,state,a2a.server.context,Call state information,ServerCallContext,,
Property,Core Classes,user,a2a.server.context,User associated with the call,ServerCallContext,,
Class,Type Classes,AgentCard,a2a.types,The AgentCard is a self-describing manifest for an agent,,,
Property,Type Classes,additional_interfaces,a2a.types,A list of additional supported interfaces,AgentCard,,
Property,Type Classes,capabilities,a2a.types,Agent capabilities,AgentCard,,
Property,Type Classes,default_input_modes,a2a.types,Default input modes supported,AgentCard,,
Property,Type Classes,default_output_modes,a2a.types,Default output modes supported,AgentCard,,
Property,Type Classes,description,a2a.types,Agent description,AgentCard,,
Property,Type Classes,documentation_url,a2a.types,URL to agent documentation,AgentCard,,
Property,Type Classes,icon_url,a2a.types,URL to agent icon,AgentCard,,
Property,Type Classes,name,a2a.types,Agent name,AgentCard,,
Property,Type Classes,preferred_transport,a2a.types,Preferred transport protocol,AgentCard,,
Property,Type Classes,protocol_version,a2a.types,A2A protocol version,AgentCard,,
Property,Type Classes,provider,a2a.types,Agent provider information,AgentCard,,
Property,Type Classes,security,a2a.types,Security requirements,AgentCard,,
Property,Type Classes,security_schemes,a2a.types,Security schemes supported,AgentCard,,
Property,Type Classes,signatures,a2a.types,Digital signatures,AgentCard,,
Property,Type Classes,skills,a2a.types,List of agent skills,AgentCard,,
Property,Type Classes,supports_authenticated_extended_card,a2a.types,Whether agent supports authenticated extended cards,AgentCard,,
Property,Type Classes,url,a2a.types,Agent URL,AgentCard,,
Property,Type Classes,version,a2a.types,Agent version,AgentCard,,
Class,Type Classes,AgentCapabilities,a2a.types,Defines optional capabilities supported by an agent,,,
Property,Type Classes,extensions,a2a.types,A list of protocol extensions supported by the agent,AgentCapabilities,,
Property,Type Classes,push_notifications,a2a.types,Indicates if the agent supports sending push notifications,AgentCapabilities,,
Property,Type Classes,state_transition_history,a2a.types,Indicates if the agent provides a history of state transitions,AgentCapabilities,,
Property,Type Classes,streaming,a2a.types,Indicates if the agent supports Server-Sent Events (SSE) for streaming responses,AgentCapabilities,,
Class,Type Classes,AgentSkill,a2a.types,Represents a skill that an agent can perform,,,
Property,Type Classes,description,a2a.types,Skill description,AgentSkill,,
Property,Type Classes,examples,a2a.types,Example uses of the skill,AgentSkill,,
Property,Type Classes,id,a2a.types,Unique skill identifier,AgentSkill,,
Property,Type Classes,input_modes,a2a.types,Supported input modes for this skill,AgentSkill,,
Property,Type Classes,name,a2a.types,Skill name,AgentSkill,,
Property,Type Classes,output_modes,a2a.types,Supported output modes for this skill,AgentSkill,,
Property,Type Classes,security,a2a.types,Security requirements for this skill,AgentSkill,,
Property,Type Classes,tags,a2a.types,Tags associated with the skill,AgentSkill,,
Class,Type Classes,Task,a2a.types,Represents a task being processed by an agent,,,
Property,Type Classes,artifacts,a2a.types,Generated artifacts for the task,Task,,
Property,Type Classes,context_id,a2a.types,Context identifier for the task,Task,,
Property,Type Classes,history,a2a.types,History of task status updates,Task,,
Property,Type Classes,id,a2a.types,Unique task identifier,Task,,
Property,Type Classes,kind,a2a.types,Task type/kind,Task,,
Property,Type Classes,metadata,a2a.types,Additional task metadata,Task,,
Property,Type Classes,status,a2a.types,Current task status,Task,,
Class,Type Classes,TaskStatus,a2a.types,Represents the status of a task,,,
Property,Type Classes,message,a2a.types,Status message,TaskStatus,,
Property,Type Classes,state,a2a.types,"Task state (submitted, working, completed, etc.)",TaskStatus,,
Property,Type Classes,timestamp,a2a.types,Timestamp of the status update,TaskStatus,,
Class,Type Classes,Message,a2a.types,Represents a message in the A2A protocol,,,
Property,Type Classes,context_id,a2a.types,Context identifier,Message,,
Property,Type Classes,extensions,a2a.types,Message extensions,Message,,
Property,Type Classes,kind,a2a.types,Message kind,Message,,
Property,Type Classes,message_id,a2a.types,Unique message identifier,Message,,
Property,Type Classes,metadata,a2a.types,Message metadata,Message,,
Property,Type Classes,parts,a2a.types,"Message parts (text, data, file)",Message,,
Property,Type Classes,reference_task_ids,a2a.types,Referenced task IDs,Message,,
Property,Type Classes,role,a2a.types,Message role (user or agent),Message,,
Property,Type Classes,task_id,a2a.types,Associated task ID,Message,,
Class,Type Classes,Artifact,a2a.types,Represents an artifact generated for a task,,,
Property,Type Classes,artifact_id,a2a.types,Unique identifier for the artifact,Artifact,,
Property,Type Classes,description,a2a.types,Optional description for the artifact,Artifact,,
Property,Type Classes,extensions,a2a.types,Extensions present in this artifact,Artifact,,
Property,Type Classes,metadata,a2a.types,Artifact metadata,Artifact,,
Property,Type Classes,name,a2a.types,Optional name for the artifact,Artifact,,
Property,Type Classes,parts,a2a.types,Artifact parts,Artifact,,
Class,Type Classes,TextPart,a2a.types,Text content part of a message,,,
Property,Type Classes,kind,a2a.types,Part kind identifier,TextPart,,
Property,Type Classes,metadata,a2a.types,Part metadata,TextPart,,
Property,Type Classes,text,a2a.types,Text content,TextPart,,
Class,Type Classes,DataPart,a2a.types,Data content part of a message,,,
Property,Type Classes,data,a2a.types,Binary data content,DataPart,,
Property,Type Classes,kind,a2a.types,Part kind identifier,DataPart,,
Property,Type Classes,metadata,a2a.types,Part metadata,DataPart,,
Class,Type Classes,FilePart,a2a.types,File content part of a message,,,
Property,Type Classes,file,a2a.types,File information,FilePart,,
Property,Type Classes,kind,a2a.types,Part kind identifier,FilePart,,
Property,Type Classes,metadata,a2a.types,Part metadata,FilePart,,
Class,Type Classes,APIKeySecurityScheme,a2a.types,Defines a security scheme using an API key,,,
Property,Type Classes,description,a2a.types,Optional description for the security scheme,APIKeySecurityScheme,,
Property,Type Classes,in_,a2a.types,"The location of the API key (header, query, cookie)",APIKeySecurityScheme,,
Property,Type Classes,name,a2a.types,"The name of the header, query, or cookie parameter",APIKeySecurityScheme,,
Property,Type Classes,type,a2a.types,The type of the security scheme (must be 'apiKey'),APIKeySecurityScheme,,
Class,Type Classes,HTTPAuthSecurityScheme,a2a.types,HTTP authentication security scheme,,,
Property,Type Classes,bearer_format,a2a.types,Bearer token format,HTTPAuthSecurityScheme,,
Property,Type Classes,description,a2a.types,Optional description,HTTPAuthSecurityScheme,,
Property,Type Classes,scheme,a2a.types,HTTP authentication scheme,HTTPAuthSecurityScheme,,
Property,Type Classes,type,a2a.types,Security scheme type,HTTPAuthSecurityScheme,,
Class,Type Classes,OAuth2SecurityScheme,a2a.types,OAuth2 security scheme,,,
Property,Type Classes,description,a2a.types,Optional description,OAuth2SecurityScheme,,
Property,Type Classes,flows,a2a.types,OAuth2 flows configuration,OAuth2SecurityScheme,,
